"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2107","Valid Login","chromium","2026-09-04","passed","2026-09-04","Login","tests\Login.spec.js","",""
"","539","Register User - Invalid Endpoint - 404","chromium","2026-08-31","passed","2026-08-31","","tests\api.spec.js","",""
"","1349","Register User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","5670","Complete Checkout","chromium","2026-09-04","passed","2026-09-04","Checkout","tests\Checkout.spec.js","",""
"","2006","get started link","chromium","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","454","Delete User Account - Unauthorized - 401","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","1182","User Backend API","chromium","2026-08-31","passed","2026-08-31","","tests\api.spec.js","",""
"","2569","Verify Home Page","chromium","2026-09-04","passed","2026-09-04","Home Page","tests\HomePage.spec.js","",""
"","1215","Login User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","665","Get All Books API Test","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","1194","Register New User","chromium","2026-08-31","passed","2026-08-31","","tests\api.spec.js","",""
"","553","Get Current User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","1200","Login With Updated User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","8527","Smoke Test - End To End","chromium","2026-09-04","passed","2026-09-04","","SmokeTest\SmokeTest.spec.js","",""
"","5960","Complete Purchase Flow","chromium","2026-09-04","passed","2026-09-04","End To End Purchase Flow","tests\endtoend.spec.js","",""
"","17","Unauthorized Request - 401","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","1012","Update User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","1121","Delete User Account - Server Error - 500","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","17","Invalid Token - 401","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","1148","Register New User API Test","chromium","2026-08-30","passed","2026-08-30","","tests\api.spec.js","",""
"","1119","has title","chromium","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","1676","Get User - Unauthorized - 401","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","2081","get User API Test","chromium","2026-08-31","passed","2026-08-31","","tests\api.spec.js","",""
"","723","Delete Updated User API Test","chromium","2026-09-04","passed","2026-09-04","","tests\allinoneapi.spec.js","",""
"","562","Delete User Account API Test","chromium","2026-08-30","failed","2026-08-30","","tests\api.spec.js","",""
"","2065","Update User API Test","chromium","2026-08-31","passed","2026-08-31","","tests\api.spec.js","",""
"","2573","Logout from application","chromium","2026-09-04","passed","2026-09-04","Logout","tests\Logout.spec.js","",""
"","4576","Add all products to cart","chromium","2026-09-04","passed","2026-09-04","Add To Cart","tests\AddToCart.spec.js","",""
